Puzzle Date,Constructor,Day of Week,Cheat Pct,Adjusted Mean,Adjusted Median,Adjusted P75,Adjusted P90,Actual Mean,Actual Median,Actual P75,Actual P90
2021-01-04,Kathy Wienberg,Monday,0.0625,0.05258,0.00146,0.21822,0.56876,0.08997,0.03237,0.22119,0.40224
2021-04-01,Sam Ezersky,Thursday,0.14286,0.10259,0.00018,0.27707,0.44105,0.06149,-0.01199,0.19851,0.59272
2021-08-29,Dory Mintz,Sunday,0.10606,0.14113,-0.00013,0.2523,0.45107,0.15773,0.06222,0.2523,0.42949
2021-01-28,Steve Mossberg,Thursday,0.17241,0.11872,-0.00198,0.295,0.81038,0.05466,-0.00198,0.26834,0.49077
2021-06-16,Finn Vigeland,Wednesday,0.11688,0.1789,-0.00307,0.35428,0.72889,0.14151,0.06169,0.34313,0.65127
2021-10-13,Brianne McManis,Wednesday,0.09333,0.20047,-0.00452,0.35344,1.10012,0.1295,0.02548,0.29625,0.48557
2021-01-19,Olivia Mitra Framke,Tuesday,0.2,0.2539,-0.00482,0.28448,0.70461,0.05848,-0.01406,0.20046,0.41635
2021-02-08,Portia Lundie,Monday,0.125,0.14022,-0.00487,0.19409,0.55018,0.05322,0.01015,0.17466,0.34952
2021-01-24,Lucy Howard and Ross Trudeau,Sunday,0.17857,0.02016,-0.00911,0.25931,0.57622,0.05073,0.05054,0.24903,0.31633
2021-02-18,Zachary Spitz,Thursday,0.10345,0.1306,-0.0097,0.30986,0.79255,0.15009,0.03778,0.26668,0.79255
2021-04-05,Zhouqin Burnikel,Monday,0.1875,0.20226,-0.01267,0.21059,0.77073,0.00498,0.00629,0.17499,0.35479
2021-07-11,Ashish Vengsarkar,Sunday,0.22727,0.13698,-0.01401,0.24594,0.62526,0.06304,0.06469,0.21134,0.35888
2021-01-17,Tracy Gray and Tom Pepper,Sunday,0.28302,0.22455,-0.01711,0.34264,0.97246,0.05249,-0.01711,0.16585,0.38222
2021-06-02,Jesse Goldberg,Wednesday,0.11842,0.12277,-0.02016,0.19666,0.70165,0.09665,0.04009,0.24289,0.42814
2021-08-01,Matthew Stock,Sunday,0.15493,0.02531,-0.02191,0.20643,0.34942,0.056,0.05662,0.21836,0.32092
2021-08-20,Randolph Ross,Friday,0.12676,0.04697,-0.02233,0.27578,0.56854,0.04212,0.02613,0.21248,0.30775
2021-07-19,Stephanie Lesser,Monday,0.07143,0.06743,-0.02306,0.15776,0.52085,0.10308,0.01266,0.1606,0.52085
2021-04-15,Brendan Emmett Quigley and Ben Zimmer,Thursday,0.22857,0.06871,-0.02323,0.32297,0.47322,0.00398,-0.02323,0.15867,0.32545
2021-09-23,Simeon Seigel,Thursday,0.13235,0.19594,-0.02607,0.19259,0.44667,-0.01035,-0.01425,0.13823,0.24403
2021-11-15,Ian Rathkey,Monday,0.04494,0.08322,-0.027,0.16925,0.6406,0.10608,0.02074,0.24192,0.55561
2021-03-13,John Guzzetta,Saturday,0.22222,0.04766,-0.02705,0.33709,0.57348,-0.03923,-0.04441,0.14896,0.33709
2021-03-02,Ross Trudeau,Tuesday,0.1,-0.02101,-0.02734,0.20219,0.41716,0.05619,-0.00325,0.19728,0.41716
2021-05-03,Ross Trudeau,Monday,0.09877,-0.03308,-0.02985,0.17241,0.44105,0.04297,0.04407,0.2039,0.34598
2021-05-29,Adam Aaronson,Saturday,0.12727,0.02421,-0.0336,0.22595,0.6983,0.04918,0.03588,0.20365,0.50491
2021-04-06,Amanda Chung and Karl Ni,Tuesday,0.14286,0.03182,-0.03426,0.12996,0.42331,0.07315,0.00159,0.21226,0.42331
2021-07-31,Brian Thomas and Brooke Husic,Saturday,0.14063,0.00924,-0.04316,0.15055,0.5875,-0.01298,-0.04324,0.13209,0.24157
2021-04-16,Tom Pepper,Friday,0.21875,0.03764,-0.04424,0.18428,0.6209,-0.04684,-0.06211,0.10064,0.31503
2021-02-22,Barbara Lin,Monday,0.09589,-0.01136,-0.04546,0.16774,0.32964,0.04776,0.00586,0.18617,0.31441
2021-08-12,Jake Halperin,Thursday,0.05714,0.01094,-0.04612,0.2044,0.3284,0.07459,0.07298,0.21215,0.33784
2021-04-25,Jeremy Newton,Sunday,0.13115,-0.02726,-0.04765,0.06903,0.4353,0.02143,-0.01101,0.18287,0.34185
2021-03-21,Julian Kwan,Sunday,0.14286,-0.00996,-0.04789,0.12986,0.51346,0.07358,0.06057,0.18641,0.38814
2021-06-06,Robyn Weintraub,Sunday,0.19672,0.01872,-0.05272,0.14219,0.50355,0.04836,-0.01466,0.14219,0.44119
2021-03-18,Tom McCoy,Thursday,0.08333,0.05656,-0.05332,0.13003,0.52815,0.00246,-0.0511,0.13003,0.29232
2021-01-02,Joe Deeney,Saturday,0.2,0.0584,-0.0538,0.20417,0.40946,-0.00726,-0.03051,0.12184,0.36835
2021-01-01,Milo Beckman,Friday,0.12963,0.02242,-0.05618,0.21827,0.51542,0.01917,0.01535,0.18187,0.30943
2021-08-03,Trip Payne,Tuesday,0.11688,0.09991,-0.05957,0.12094,0.43395,0.04736,0.00087,0.17144,0.39217
2021-11-28,Jeff Kremer,Sunday,0.05882,-0.04657,-0.05992,0.15148,0.29833,0.01093,0.00942,0.15544,0.25541
2021-02-09,Colin Ernst,Tuesday,0.14493,0.08502,-0.06144,0.12715,0.49927,0.05372,-0.05228,0.11861,0.48573
2021-08-31,Eric Bornstein,Tuesday,0.06173,0.04383,-0.06284,0.1031,0.28306,0.04155,0.00348,0.14211,0.34128
2021-09-02,David W. Tuffs,Thursday,0.09859,0.07319,-0.06293,0.28703,0.54088,0.06586,0.01371,0.28246,0.40968
2021-09-01,Sean Yamada-Hunter,Wednesday,0.075,-0.00987,-0.06402,0.17044,0.36294,0.02168,-0.02999,0.16452,0.32577
2021-04-23,Robyn Weintraub,Friday,0.10169,-0.04713,-0.06462,0.12735,0.37514,0.03968,0.02422,0.18982,0.4096
2021-11-07,Sid Sivakumar,Sunday,0.14286,0.01098,-0.06517,0.21531,0.47725,-0.00266,-0.03872,0.17188,0.27444
2021-01-14,Aimee Lucido and Ella Dershowitz,Thursday,0.19048,0.11341,-0.06539,0.26688,0.77328,-0.01878,-0.04677,0.14799,0.36682
2021-10-18,Freddie Cheng,Monday,0.10227,0.0465,-0.06596,0.13288,0.5755,0.01986,-0.01513,0.14932,0.35526
2021-07-29,Trenton Charlson,Thursday,0.12676,-0.00955,-0.06793,0.14207,0.60237,0.025,-0.05332,0.21312,0.46309
2021-03-30,Alex Rosen and Brad Wilber,Tuesday,0.14085,-0.01258,-0.06909,0.09192,0.51582,-0.01511,-0.03124,0.11567,0.39871
2021-01-25,Kevin Christian and Andrea Carla Michaels,Monday,0.15278,0.14568,-0.07265,0.07861,0.84744,-0.02676,-0.08253,0.04858,0.19688
2021-02-28,Brad Wiegmann,Sunday,0.14286,-0.05587,-0.07271,0.17822,0.3121,0.04464,0.02245,0.18744,0.32307
2021-02-24,Andrew J. Ries,Wednesday,0.16901,0.1626,-0.07288,0.23908,0.51039,-0.03835,-0.07251,0.08992,0.26512
2021-11-09,Jennifer Lee and Victor Galson,Tuesday,0.08235,0.04583,-0.07296,0.13493,0.46505,-0.00895,-0.03912,0.13399,0.30631
2021-08-17,Ruth Bloomfield Margolin,Tuesday,0.10976,0.05175,-0.07347,0.06507,0.3559,0.00793,-0.07061,0.06512,0.25708
2021-06-05,Peter Wentz,Saturday,0.07547,-0.02896,-0.07359,0.2034,0.49476,0.05087,0.033,0.20371,0.48367
2021-09-10,Adrian Kabigting,Friday,0.09091,0.01406,-0.07572,0.28777,0.46581,4.00E-05,-0.0063,0.15592,0.36641
2021-11-25,Chase Dittrich,Thursday,0.18421,0.06825,-0.07593,0.3097,0.82565,-0.01208,-0.05194,0.11889,0.33704
2021-05-01,Ryan McCarty,Saturday,0.10345,-0.04731,-0.07661,0.14327,0.34295,0.01816,-0.01805,0.19028,0.44327
2021-07-04,Howard Barkin,Sunday,0.16923,-0.07445,-0.08143,0.09326,0.40612,-0.04169,-0.08038,0.10436,0.36485
2021-11-22,Stella Zawistowski,Monday,0.03448,-0.04663,-0.08173,0.10113,0.24417,-0.02629,-0.01415,0.10808,0.23389
2021-07-25,Chandi Deitmer,Sunday,0.13636,0.00066,-0.0818,0.08319,0.30952,0.06844,-0.06293,0.08185,0.27398
2021-07-07,Peter A. Collins,Wednesday,0.08861,-0.03032,-0.08192,0.11167,0.3552,0.00884,0.03758,0.14899,0.31028
2021-09-06,Joshua Rosenblatt,Monday,0.08642,0.01283,-0.08477,0.065,0.3823,-0.05902,-0.07821,0.05492,0.18839
2021-06-13,Stephen McCarthy,Sunday,0.17241,-0.00874,-0.08565,0.1642,0.4552,0.01682,-0.04288,0.18652,0.332
2021-06-30,Christopher Adams and Adam Aaronson,Wednesday,0.11538,0.00348,-0.08718,0.17314,0.46564,-0.00824,-0.0537,0.16551,0.36775
2021-01-18,Jeff Stillman,Monday,0.09589,-0.04922,-0.08722,0.0572,0.42203,-0.01303,-0.04959,0.0799,0.34765
2021-03-22,Daniel Grinberg,Monday,0.1125,-0.00782,-0.0889,0.06924,0.21339,-0.04336,-0.04021,0.07338,0.19325
2021-06-21,Jacob Stulberg,Monday,0.04938,-0.0928,-0.0893,0.0678,0.14468,-0.02686,-0.047,0.10572,0.19869
2021-01-08,Evan Kalish,Friday,0.12281,0.04964,-0.0895,0.13838,1.08784,0.06508,-0.03453,0.1411,0.31325
2021-11-17,Anne Grae Martin,Wednesday,0.0241,-0.06223,-0.09167,0.10241,0.37685,0.01925,-0.01084,0.14556,0.34835
2021-03-27,Michael Hawkins,Saturday,0.10714,-0.01833,-0.09332,0.23614,0.50466,0.04262,0.04062,0.23614,0.4668
2021-11-30,Billy Ouska,Tuesday,0.04878,-0.05012,-0.09375,0.09782,0.38498,-0.03713,-0.08594,0.09759,0.23711
2021-01-10,Alex Bajcz,Sunday,0.22807,0.03893,-0.09415,0.0794,0.35893,-0.07491,-0.09124,0.05123,0.31653
2021-01-09,Trenton Charlson,Saturday,0.20755,0.07124,-0.09437,0.33313,0.75252,0.04,-0.04546,0.21524,0.58449
2021-04-18,Johan Vass,Sunday,0.25397,-0.01912,-0.09464,0.05955,0.70484,-0.09647,-0.09464,0.00948,0.16209
2021-11-29,Enrique Henestroza Anguiano,Monday,0.03448,-0.08216,-0.0951,0.06058,0.23247,-0.012,-0.06225,0.08033,0.2305
2021-07-20,Sam Buchbinder,Tuesday,0.08861,-0.07023,-0.09962,0.06617,0.26243,-0.03878,-0.08599,0.07774,0.20166
2021-04-21,Brandon Koppy,Wednesday,0.17808,0.01992,-0.10245,0.09304,0.51856,-0.03853,-0.09542,0.07085,0.26809
2021-09-18,Ryan McCarty,Saturday,0.07937,-0.10431,-0.10304,0.08896,0.34864,-0.05538,-0.0612,0.08896,0.3325
2021-05-12,Tracy Gray,Wednesday,0.14865,0.01651,-0.10756,0.10038,0.33368,-0.00606,-0.0266,0.11192,0.30363
2021-04-24,Kristian House and Mike Dockins,Saturday,0.07407,-0.00426,-0.11287,0.24634,0.41249,0.06642,0.01295,0.24634,0.49494
2021-09-27,Zachary David Levy,Monday,0.03659,0.03385,-0.11429,0.03467,0.29755,-0.04313,-0.09666,0.04538,0.29755
2021-03-15,Philip K. Chow,Monday,0.1375,0.04329,-0.11554,0.0878,0.74847,-0.04763,-0.07232,0.08687,0.26185
2021-05-09,Brad Wiegmann,Sunday,0.1746,-0.06152,-0.11868,0.18529,0.28699,-0.02857,-0.07909,0.10431,0.2281
2021-04-09,Jamey Smith,Friday,0.13115,-0.10986,-0.12193,0.05964,0.32529,-0.11654,-0.11675,0.05539,0.26715
2021-04-08,Jake Halperin,Thursday,0.13636,-0.0716,-0.12422,0.06292,0.33567,-0.0542,-0.06773,0.07634,0.28666
2021-09-15,Sophie Buchmueller and Ross Trudeau,Wednesday,0.04054,-0.11805,-0.12552,0.02503,0.26141,-0.08444,-0.11103,0.02503,0.26141
2021-03-11,Leslie Rogers,Thursday,0.14063,-0.06374,-0.12614,0.1046,0.3149,-0.03182,-0.07018,0.09538,0.3149
2021-06-23,Kate Hawkins,Wednesday,0.06494,-0.08354,-0.12872,0.07256,0.25928,-0.04398,-0.08172,0.12717,0.2627
2021-02-02,Adesina O. Koiki,Tuesday,0.17647,-0.06987,-0.12879,0.04209,0.36292,-0.11718,-0.15395,-0.03503,0.21811
2021-03-05,Sridhar Bhagavathula,Friday,0.10714,0.04422,-0.13435,0.21767,0.83718,0.05458,-6.00E-05,0.19723,0.51461
2021-09-26,Priyanka Sethy and Matthew Stock,Sunday,0.13043,-0.12131,-0.13491,0.01748,0.31306,-0.08837,-0.11142,0.01772,0.17616
2021-12-29,Simon Marotte and Victor Fleming,Wednesday,0.05479,-0.03896,-0.13612,0.04278,0.36992,-0.05088,-0.08576,0.1044,0.26662
2021-06-14,Andrea Carla Michaels and Doug Peterson,Monday,0.08235,-0.10472,-0.13635,0.01611,0.22767,-0.06694,-0.12257,0.01715,0.19739
